PURITY
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|  Method   | k  |    dataset     |        lda         |      skipgram      |       tfidf        |     consensus      |
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|    NCF    | 3  | 20Newsgroup:3  | 1.0680412371134023 | 1.0845896147403686 |        1.0         | 1.0800667222685572 |
|    NCF    | 3  |   BBCSport:3   | 1.145124716553288  |        1.0         | 1.0120240480961924 | 1.0477178423236515 |
|    NCF    | 3  |  Reuters-R8:3  |        1.0         | 1.130784708249497  | 1.0187311178247733 | 1.0126126126126125 |
|    NCF    | 3  |    WebKB:3     | 1.0127087872185911 | 1.0488905603610381 | 1.0201170446232626 |        1.0         |
|    NCF    | 6  | 20Newsgroup:6  | 1.0389917290271762 |       1.0552       |        1.0         | 1.0308714341539664 |
|    NCF    | 6  |   BBCSport:6   | 1.3734939759036144 | 1.0654205607476634 |        1.0         | 1.130578512396694  |
|    NCF    | 6  |  Reuters-R8:6  | 1.0244040862656076 | 1.0763267740011928 | 1.0083798882681565 |        1.0         |
|    NCF    | 6  |    WebKB:6     | 1.0003633720930232 | 1.1964363320295524 |        1.0         | 1.0003633720930232 |
|    NCF    | 12 | 20Newsgroup:12 |        1.0         | 1.0479479886225112 | 1.084068936527953  | 1.0027216174183515 |
|    NCF    | 12 |  BBCSport:12   | 1.3522504892367908 | 1.022189349112426  | 1.0072886297376094 |        1.0         |
|    NCF    | 12 | Reuters-R8:12  | 1.0340211935303958 | 1.1016042780748663 |        1.0         | 1.031719532554257  |
|    NCF    | 12 |    WebKB:12    |        1.0         | 1.0851966075558988 | 1.0379793510324486 | 1.000355366027008  |
|    NCF    | 24 | 20Newsgroup:24 |        1.0         | 1.078925619834711  | 1.168755595344673  | 1.0030733768728393 |
|    NCF    | 24 |  BBCSport:24   | 1.3111954459203035 | 1.046969696969697  |        1.0         | 1.0176730486008836 |
|    NCF    | 24 | Reuters-R8:24  | 1.0381215469613259 |  1.14224924012158  |        1.0         | 1.001065530101225  |
|    NCF    | 24 |    WebKB:24    |        1.0         | 1.0856374807987712 | 1.0268797675263348 |        1.0         |
|    NCF    | 48 | 20Newsgroup:48 | 1.0011265490048822 | 1.019892884468248  | 1.1437151437151443 |        1.0         |
|    NCF    | 48 |  BBCSport:48   | 1.2647058823529416 | 1.080062794348509  |        1.0         | 1.2463768115942035 |
|    NCF    | 48 | Reuters-R8:48  | 1.030911062906725  | 1.082574031890661  |        1.0         | 1.026457883369331  |
|    NCF    | 48 |    WebKB:48    |        1.0         | 1.1272224417226397 | 1.0753863550697325 | 1.014941302027748  |
| NCFwR#10  | 3  | 20Newsgroup:3  | 1.0448318804483188 | 1.0483132028321531 |        1.0         | 1.000397456279809  |
| NCFwR#10  | 3  |   BBCSport:3   | 1.1744186046511627 |        1.0         | 1.0120240480961924 |        1.01        |
| NCFwR#10  | 3  |  Reuters-R8:3  | 1.0282282282282282 | 1.0774071743234739 | 1.0058754406580495 |        1.0         |
| NCFwR#10  | 3  |    WebKB:3     | 1.0354046242774566 | 1.1794238683127571 | 1.0327927927927927 |        1.0         |
| NCFwR#10  | 6  | 20Newsgroup:6  | 1.016773162939297  | 1.0590682196339434 | 1.0538079470198678 |        1.0         |
| NCFwR#10  | 6  |   BBCSport:6   | 1.4141414141414141 |  1.10062893081761  |        1.0         | 1.051051051051051  |
| NCFwR#10  | 6  |  Reuters-R8:6  | 1.0198637911464248 | 1.2453222453222454 |        1.0         | 1.0387283236994223 |
| NCFwR#10  | 6  |    WebKB:6     | 1.0363963963963965 | 1.1686306379520521 |        1.0         | 1.0450581395348835 |
| NCFwR#10  | 12 | 20Newsgroup:12 | 1.005066250974279  | 1.0086038326163473 | 1.0639438943894388 |        1.0         |
| NCFwR#10  | 12 |  BBCSport:12   | 1.3531746031746033 | 1.0317700453857794 |        1.0         | 1.016393442622951  |
| NCFwR#10  | 12 | Reuters-R8:12  | 1.0344062153163154 | 1.137973137973138  |        1.0         | 1.0448430493273544 |
| NCFwR#10  | 12 |    WebKB:12    | 1.0057020669992873 | 1.190215099114298  | 1.0064194008559202 |        1.0         |
| NCFwR#10  | 24 | 20Newsgroup:24 | 1.0080645161290323 |        1.0         | 1.1729222520107236 | 1.0154738878143132 |
| NCFwR#10  | 24 |  BBCSport:24   | 1.3076923076923077 | 1.0512820512820515 |        1.0         | 1.0250000000000004 |
| NCFwR#10  | 24 | Reuters-R8:24  | 1.026878771256171  | 1.1129607609988112 |        1.0         | 1.0201634877384196 |
| NCFwR#10  | 24 |    WebKB:24    |        1.0         | 1.0932301740812382 | 1.0265165274246275 | 1.0363036303630357 |
| NCFwR#10  | 48 | 20Newsgroup:48 |        1.0         | 1.0416991426344506 | 1.2426778242677834 | 1.0090600226500568 |
| NCFwR#10  | 48 |  BBCSport:48   |  1.26007326007326  | 1.0192592592592593 |        1.0         | 1.0073206442166913 |
| NCFwR#10  | 48 | Reuters-R8:48  | 1.0215749730312838 | 1.085386819484241  |        1.0         | 1.0112119594233853 |
| NCFwR#10  | 48 |    WebKB:48    |        1.0         | 1.1222965001966185 | 1.076981132075472  | 1.038573508005823  |
| NCFwR#20  | 3  | 20Newsgroup:3  | 1.0185334407735698 | 1.1280678268630076 |        1.0         | 1.091066033664221  |
| NCFwR#20  | 3  |   BBCSport:3   | 1.1451247165532878 |        1.0         |        1.01        |        1.01        |
| NCFwR#20  | 3  |  Reuters-R8:3  | 1.028228228228228  |  1.24872355944566  | 1.0263788968824938 |        1.0         |
| NCFwR#20  | 3  |    WebKB:3     |        1.0         | 1.1590909090909092 | 1.0032786885245903 | 1.005109489051095  |
| NCFwR#20  | 6  | 20Newsgroup:6  | 1.0502008032128516 | 1.0955173858399665 |        1.0         | 1.0426634768740035 |
| NCFwR#20  | 6  |   BBCSport:6   | 1.401209677419355  | 1.2171628721541157 |        1.0         | 1.0758513931888545 |
| NCFwR#20  | 6  |  Reuters-R8:6  |        1.0         | 1.2272411396803338 | 1.0011337868480725 | 1.0062678062678065 |
| NCFwR#20  | 6  |    WebKB:6     |        1.0         | 1.0822239624119028 | 1.0367591897974493 | 1.0036310820624548 |
| NCFwR#20  | 12 | 20Newsgroup:12 | 1.0054538371640047 | 1.0101761252446184 |        1.0         | 1.0078094494338148 |
| NCFwR#20  | 12 |  BBCSport:12   | 1.3596837944664029 | 1.0345864661654136 |        1.0         | 1.016248153618907  |
| NCFwR#20  | 12 | Reuters-R8:12  | 1.030829596412556  | 1.1587901701323249 |        1.0         | 1.0027262813522353 |
| NCFwR#20  | 12 |    WebKB:12    | 1.0103129445234704 | 1.097758887171561  | 1.0286024619840695 |        1.0         |
| NCFwR#20  | 24 | 20Newsgroup:24 |        1.0         | 1.0925311203319505 | 1.0621218233158534 | 1.022127329192547  |
| NCFwR#20  | 24 |  BBCSport:24   | 1.3320683111954457 | 1.0323529411764707 |        1.0         | 1.0173913043478262 |
| NCFwR#20  | 24 | Reuters-R8:24  | 1.0326975476839237 | 1.0859598853868193 |        1.0         | 1.0475400773908234 |
| NCFwR#20  | 24 |    WebKB:24    | 1.0021141649048626 | 1.0859106529209626 |        1.0         | 1.018624641833811  |
| NCFwR#20  | 48 | 20Newsgroup:48 | 1.0011202389843161 | 1.0563435776201735 | 1.1536144578313254 |        1.0         |
